Pos.,Song,Artist,LINK SPOTON,LINK SPOTIFY,ID,30s-Preview,BPM,KEY,MODE,DANCEABILITY,ENERGY,VALENCE,ACOUSTICNESS,INSTRUMENTALNESS,SPEECHINESS,LIVENESS
1,I'm the One,DJ Khaled,http://www.spotontrack.com/track/i-m-the-one/20614606,https://open.spotify.com/track/72Q0FQQo32KJloivv5xge2,72Q0FQQo32KJloivv5xge2,https://p.scdn.co/mp3-preview/f6fdecfbaae1ed54bcfbae1bc2b088e8807c9783?cid=null,  80.98400000,  G,  Major,  60%,  67%,  81%,  5%,  0%,  4%,  13%
2,Despacito - Remix,Luis Fonsi,http://www.spotontrack.com/track/despacito-remix/18315714,https://open.spotify.com/track/6rPO02ozF3bM7NnOV4h6s2,6rPO02ozF3bM7NnOV4h6s2,,  88.35700000,  D,  Major,  63%,  82%,  81%,  22%,  0%,  15%,  9%
3,Thunder,Imagine Dragons,http://www.spotontrack.com/track/thunder/20522669,https://open.spotify.com/track/0oP9pK1D1lNF3Lb7jkl6Xx,0oP9pK1D1lNF3Lb7jkl6Xx,,  167.96900000,  C,  Major,  61%,  84%,  25%,  1%,  6%,  5%,  12%
4,Strip That Down,Liam Payne,http://www.spotontrack.com/track/strip-that-down/23314062,https://open.spotify.com/track/4Ro98RCK90oHqqSZUnTFq5,4Ro98RCK90oHqqSZUnTFq5,,  106.00800000,  F#,  Major,  87%,  49%,  53%,  22%,  0%,  5%,  8%
5,Attention,Charlie Puth,http://www.spotontrack.com/track/attention/19048533,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv,4iLqG9SeJSnt0cSPICSjxv,https://p.scdn.co/mp3-preview/e20bdb50a10a7c5ada4bd34252bed3bfa3823b7a?cid=null,  100.04100000,  D#,  Minor,  77%,  63%,  76%,  10%,  0%,  4%,  8%
6,Bad Liar,Selena Gomez,http://www.spotontrack.com/track/bad-liar/23283097,https://open.spotify.com/track/2fZQIJew3nkNe99s2PKzul,2fZQIJew3nkNe99s2PKzul,,  121.01900000,  C#,  Major,  95%,  41%,  74%,  18%,  0%,  7%,  8%
7,Quit (feat. Ariana Grande),Cashmere Cat,http://www.spotontrack.com/track/quit-feat-ariana-grande/20717994,https://open.spotify.com/track/4rwqrKdwlFWJ6LvPYaOtgn,4rwqrKdwlFWJ6LvPYaOtgn,,  131.65900000,  C,  Minor,  44%,  41%,  13%,  10%,  0%,  4%,  10%
8,There's Nothing Holdin' Me Back,Shawn Mendes,http://www.spotontrack.com/track/there-s-nothing-holdin-me-back/18941915,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu,79cuOz3SPQTuFrp8WgftAu,,  121.99600000,  D,  Major,  86%,  80%,  97%,  38%,  0%,  6%,  9%
9,No Vacancy,OneRepublic,http://www.spotontrack.com/track/no-vacancy/20717888,https://open.spotify.com/track/4QeoDcR16IHpmmgFGQDrCp,4QeoDcR16IHpmmgFGQDrCp,,  99.95400000,  F,  Major,  71%,  72%,  48%,  6%,  0%,  5%,  14%
10,Malibu,Miley Cyrus,http://www.spotontrack.com/track/malibu/22766638,https://open.spotify.com/track/2habSXqcJGExM6JJyskY7O,2habSXqcJGExM6JJyskY7O,https://p.scdn.co/mp3-preview/85e214544e55a8fc19d57335f304792804421501?cid=null,  140.00400000,  G#,  Major,  57%,  78%,  39%,  6%,  0%,  5%,  8%
11,Crying in the Club,Camila Cabello,http://www.spotontrack.com/track/crying-in-the-club/23314061,https://open.spotify.com/track/1SJtlNRJDeYHioymcvsqev,1SJtlNRJDeYHioymcvsqev,https://p.scdn.co/mp3-preview/1a9f4cc9835fdf339761f898464a34bd9c51b638?cid=null,  85.22700000,  F#,  Minor,  33%,  62%,  63%,  33%,  0%,  38%,  16%
12,There For You,Martin Garrix,http://www.spotontrack.com/track/there-for-you/23763300,https://open.spotify.com/track/6jA8HL9i4QGzsj6fjoxp8Y,6jA8HL9i4QGzsj6fjoxp8Y,https://p.scdn.co/mp3-preview/53a6c7b51d388fbf7fee35a3c2ca7d32d8d83fc1?cid=null,  105.51300000,  F#,  Minor,  55%,  65%,  14%,  13%,  0%,  7%,  21%
13,The Cure,Lady Gaga,http://www.spotontrack.com/track/the-cure/18041410,https://open.spotify.com/track/51PIvodunv6NmX5250zxAh,51PIvodunv6NmX5250zxAh,,  99.97700000,  G#,  Major,  70%,  50%,  54%,  7%,  0%,  4%,  9%
14,Most Girls,Hailee Steinfeld,http://www.spotontrack.com/track/most-girls/20717890,https://open.spotify.com/track/10GJQkjRJcZhGTLagFOC62,10GJQkjRJcZhGTLagFOC62,,  102.97400000,  A,  Major,  76%,  59%,  38%,  5%,  0%,  8%,  8%
15,First Time,Kygo,http://www.spotontrack.com/track/first-time/20523138,https://open.spotify.com/track/2Gl0FzuLxflY6nPifJp5Dr,2Gl0FzuLxflY6nPifJp5Dr,https://p.scdn.co/mp3-preview/f5e35495b56260a06a92b308d616ab71e079e903?cid=null,  90.06600000,  C,  Minor,  63%,  59%,  64%,  20%,  0%,  11%,  10%
16,1-800-273-8255,Logic,http://www.spotontrack.com/track/1-800-273-8255/20717897,https://open.spotify.com/track/4Sj8JZ9zZfl8HaOav5yTVq,4Sj8JZ9zZfl8HaOav5yTVq,,  100.04800000,  F,  Minor,  62%,  59%,  36%,  56%,  0%,  4%,  18%
17,Slow Hands,Niall Horan,http://www.spotontrack.com/track/slow-hands/21901915,https://open.spotify.com/track/27vTihlWXiz9f9lJM3XGVU,27vTihlWXiz9f9lJM3XGVU,,  85.89900000,  C,  Major,  73%,  43%,  87%,  1%,  0%,  5%,  6%
18,Now Or Never,Halsey,http://www.spotontrack.com/track/now-or-never/15781461,https://open.spotify.com/track/3Px934J0dBoCmpUhUuCQkD,3Px934J0dBoCmpUhUuCQkD,,  110.09100000,  F#,  Minor,  66%,  58%,  49%,  12%,  0%,  4%,  13%
19,Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,http://www.spotontrack.com/track/pretty-girl-cheat-codes-x-cade-remix/10535022,https://open.spotify.com/track/39IsH7B5byx8NRlEKlZVg9,39IsH7B5byx8NRlEKlZVg9,https://p.scdn.co/mp3-preview/58cb4a89b49f1b0f0a4e3eae532df7c47bc2a0b8?cid=null,  121.03000000,  G,  Minor,  70%,  87%,  73%,  15%,  13%,  3%,  10%
20,Whatever It Takes,Imagine Dragons,http://www.spotontrack.com/track/whatever-it-takes/22656441,https://open.spotify.com/track/6QV0jXpL3RHVkN2g8C7mvh,6QV0jXpL3RHVkN2g8C7mvh,,  134.94400000,  C#,  Major,  67%,  68%,  57%,  4%,  0%,  3%,  11%
21,Mama,Jonas Blue,http://www.spotontrack.com/track/mama/22004976,https://open.spotify.com/track/47OVNnZJzIkrsEiZ4n187p,47OVNnZJzIkrsEiZ4n187p,,  104.02000000,  B,  Minor,  75%,  80%,  54%,  13%,  0%,  4%,  5%
22,No Promises (feat. Demi Lovato),Cheat Codes,http://www.spotontrack.com/track/no-promises-feat-demi-lovato/14790210,https://open.spotify.com/track/1louJpMmzEicAn7lzDalPW,1louJpMmzEicAn7lzDalPW,https://p.scdn.co/mp3-preview/eb769786f45b9fe4852d38b4db9e2b4774e8781d?cid=null,  112.95600000,  A#,  Major,  74%,  67%,  61%,  6%,  0%,  13%,  11%
23,Unforgettable,French Montana,http://www.spotontrack.com/track/unforgettable/16112738,https://open.spotify.com/track/1F2HXIJrE2Xn81OzT2zZvW,1F2HXIJrE2Xn81OzT2zZvW,https://p.scdn.co/mp3-preview/3814de3ede7445566a5b176bb23120af44da62d8?cid=null,  97.98500000,  F#,  Major,  73%,  77%,  75%,  3%,  1%,  12%,  10%
24,Stay (with Alessia Cara),Zedd,http://www.spotontrack.com/track/stay-with-alessia-cara/9893206,https://open.spotify.com/track/6uBhi9gBXWjanegOb2Phh0,6uBhi9gBXWjanegOb2Phh0,,  101.38400000,  F,  Minor,  46%,  63%,  54%,  24%,  0%,  11%,  12%
25,Swish Swish,Katy Perry,http://www.spotontrack.com/track/swish-swish/23314063,https://open.spotify.com/track/4jgvPFeCE4V2HkYX6luV9B,4jgvPFeCE4V2HkYX6luV9B,,  119.95200000,  F,  Minor,  84%,  71%,  53%,  2%,  0%,  6%,  14%
26,Bad Bitch (feat. Ty Dolla $ign),Bebe Rexha,http://www.spotontrack.com/track/bad-bitch-feat-ty-dolla-ign/9075419,https://open.spotify.com/track/4ZJPwET9Jrgpkqi4Vo3Yg8,4ZJPwET9Jrgpkqi4Vo3Yg8,https://p.scdn.co/mp3-preview/9284a8a94b8c16eff6a396fceb0c485fc7496b51?cid=null,  139.91000000,  F,  Major,  66%,  62%,  36%,  3%,  0%,  5%,  23%
27,Rollin,Calvin Harris,http://www.spotontrack.com/track/rollin/22772700,https://open.spotify.com/track/3FDrI0FLKzrYQiWxPhqV2W,3FDrI0FLKzrYQiWxPhqV2W,https://p.scdn.co/mp3-preview/42c9d2902b9cc29e41983d86dddfc3d03c0e3664?cid=null,  92.00200000,  F#,  Minor,  75%,  76%,  67%,  45%,  0%,  8%,  22%
28,The Night We Met,Various Artists,http://www.spotontrack.com/track/the-night-we-met/14871135,https://open.spotify.com/track/3FsBtu3gdlfZjBLXyDvmj1,3FsBtu3gdlfZjBLXyDvmj1,,  87.02400000,  D,  Major,  55%,  37%,  12%,  97%,  13%,  4%,  64%
29,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,http://www.spotontrack.com/track/swalla-feat-nicki-minaj-ty-dolla-ign/9893334,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF,6kex4EBAj0WHXDKZMEJaaF,https://p.scdn.co/mp3-preview/9aa4e0500aae8b33d04f031c454688890ab06468?cid=null,  98.06400000,  C#,  Major,  70%,  82%,  78%,  8%,  0%,  11%,  19%
30,Reminding Me,Shawn Hook,http://www.spotontrack.com/track/reminding-me/19049507,https://open.spotify.com/track/3Mjer7nERC4u3tkkSopwLp,3Mjer7nERC4u3tkkSopwLp,,  132.80700000,  A,  Minor,  56%,  56%,  29%,  10%,  0%,  4%,  9%
31,Nights With You,MØ,http://www.spotontrack.com/track/nights-with-you/18943965,https://open.spotify.com/track/5q5gzmbBS5yQzos2BvVr1t,5q5gzmbBS5yQzos2BvVr1t,https://p.scdn.co/mp3-preview/47d05bccc19615cf21014c8421564e64d9ea8c67?cid=null,  120.06000000,  C#,  Minor,  76%,  67%,  61%,  40%,  0%,  10%,  38%
32,Good Life (with G-Eazy & Kehlani),G-Eazy,http://www.spotontrack.com/track/good-life-with-g-eazy-kehlani/12616067,https://open.spotify.com/track/1Eck97uRMlprKOOJN9oO1E,1Eck97uRMlprKOOJN9oO1E,https://p.scdn.co/mp3-preview/88d8d456dcf9b55e94b0f9a42ca1edaf15248738?cid=null,  168.38500000,  C#,  Major,  57%,  77%,  55%,  0%,  0%,  21%,  6%
33,Obsession (feat. Jon Bellion),Vice,http://www.spotontrack.com/track/obsession-feat-jon-bellion/11565702,https://open.spotify.com/track/542Xd5qDeLBvgXZXhfW7LE,542Xd5qDeLBvgXZXhfW7LE,https://p.scdn.co/mp3-preview/16ab1dd04110aa3f8770c046379d8a115134186d?cid=null,  101.99900000,  A#,  Major,  74%,  56%,  44%,  1%,  0%,  3%,  21%
34,Whippin (feat. Felix Snow),Kiiara,http://www.spotontrack.com/track/whippin-feat-felix-snow/17445935,https://open.spotify.com/track/3QWjljChcOMkRDYSzF33Qr,3QWjljChcOMkRDYSzF33Qr,https://p.scdn.co/mp3-preview/ed899d1bb2e78f57385a426eefce614591174f54?cid=null,  82.53000000,  F,  Minor,  87%,  50%,  68%,  55%,  0%,  5%,  9%
35,Redbone,Childish Gambino,http://www.spotontrack.com/track/redbone/6484657,https://open.spotify.com/track/3kxfsdsCpFgN412fpnW85Y,3kxfsdsCpFgN412fpnW85Y,,  160.08300000,  C#,  Major,  74%,  36%,  59%,  20%,  1%,  8%,  14%
36,Symphony,Zara Larsson,http://www.spotontrack.com/track/symphony/12616038,https://open.spotify.com/track/4SPLWgCPoKwULz2UTM8TKg,4SPLWgCPoKwULz2UTM8TKg,,  122.94800000,  C,  Minor,  72%,  61%,  47%,  28%,  0%,  4%,  23%
37,Break Up Every Night,The Chainsmokers,http://www.spotontrack.com/track/break-up-every-night/16112641,https://open.spotify.com/track/6cPyTS0Kk2sc4xQwC93kOg,6cPyTS0Kk2sc4xQwC93kOg,https://p.scdn.co/mp3-preview/119d2078bf60742215150fde0c1ecd7237ef9bce?cid=null,  149.99900000,  C#,  Major,  62%,  81%,  54%,  0%,  0%,  4%,  9%
38,HUMBLE.,Kendrick Lamar,http://www.spotontrack.com/track/humble/14871128,https://open.spotify.com/track/3GnLo84IkdSWCPYt6tnLll,3GnLo84IkdSWCPYt6tnLll,,  149.99600000,  C#,  Minor,  91%,  60%,  42%,  0%,  0%,  12%,  9%
39,do re mi,Blackbear,http://www.spotontrack.com/track/do-re-mi/13191950,https://open.spotify.com/track/3sTCfUmYXSVWDacTd6uMbQ,3sTCfUmYXSVWDacTd6uMbQ,,  110.99100000,  G#,  Major,  75%,  59%,  16%,  1%,  0%,  5%,  12%
