Pos.,Song,Artist,LINK SPOTON,LINK SPOTIFY,ID,30s-Preview,BPM,KEY,MODE,DANCEABILITY,ENERGY,VALENCE,ACOUSTICNESS,INSTRUMENTALNESS,SPEECHINESS,LIVENESS
1,Met Gala (feat. Offset),Gucci Mane,http://www.spotontrack.com/track/met-gala-feat-offset/23779858,https://open.spotify.com/track/2XaInsPPUkZRkY4uFJ3AHK,2XaInsPPUkZRkY4uFJ3AHK,https://p.scdn.co/mp3-preview/2e5b265dbe3712078fed4d4acc1f673890494a98?cid=null,  140.02600000,  D,  Major,  80%,  60%,  21%,  3%,  0%,  21%,  14%
2,Mask Off - Remix,Future,http://www.spotontrack.com/track/mask-off-remix/23679189,https://open.spotify.com/track/6DB2KOEwHnjkgEnBt5SdeJ,6DB2KOEwHnjkgEnBt5SdeJ,https://p.scdn.co/mp3-preview/c51f0986f9a2e8d6058044b9d0b136b20766a99f?cid=null,  150.00500000,  D,  Major,  73%,  43%,  23%,  1%,  2%,  40%,  51%
3,XO TOUR Llif3,Lil Uzi Vert,http://www.spotontrack.com/track/xo-tour-llif3/13473766,https://open.spotify.com/track/2eMwDehkIC1j68U6FA3Eiq,2eMwDehkIC1j68U6FA3Eiq,https://p.scdn.co/mp3-preview/7add10ee576e9017030c09aa6d8bcaf682714859?cid=null,  154.88800000,  B,  Minor,  72%,  67%,  53%,  0%,  0%,  8%,  11%
4,Stay Blessed,Bryson Tiller,http://www.spotontrack.com/track/stay-blessed/23767930,https://open.spotify.com/track/6dxU7Xf9j2yNI7aCcT8W1g,6dxU7Xf9j2yNI7aCcT8W1g,https://p.scdn.co/mp3-preview/3bd76bde75b629fb2fc1389eee84d63c6ddae157?cid=null,  157.68300000,  F,  Minor,  53%,  49%,  28%,  19%,  0%,  45%,  17%
5,Slippery (feat. Gucci Mane),Migos,http://www.spotontrack.com/track/slippery-feat-gucci-mane/7405038,https://open.spotify.com/track/6p8NuHm8uCGnn2Dtbtf7zE,6p8NuHm8uCGnn2Dtbtf7zE,https://p.scdn.co/mp3-preview/25bf4c7c13f59a0bd7f0ce023a524892a7216872?cid=null,  141.96700000,  C#,  Minor,  92%,  67%,  74%,  31%,  0%,  26%,  10%
6,Butterfly Effect,Travis Scott,http://www.spotontrack.com/track/butterfly-effect/23338213,https://open.spotify.com/track/1yxgsra98r3qAtxqiGZPiX,1yxgsra98r3qAtxqiGZPiX,https://p.scdn.co/mp3-preview/281accf9a592eac9ba0927c92147a5ba8115b372?cid=null,  141.01200000,  C#,  Minor,  81%,  52%,  16%,  2%,  0%,  7%,  11%
7,HUMBLE.,Kendrick Lamar,http://www.spotontrack.com/track/humble/17622702,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS,7KXjTSCq5nL1LoYtL7XAwS,,  150.02000000,  C#,  Minor,  90%,  61%,  43%,  0%,  0%,  9%,  10%
8,Portland,Drake,http://www.spotontrack.com/track/portland/12793031,https://open.spotify.com/track/2bjwRfXMk4uRgOD9IBYl9h,2bjwRfXMk4uRgOD9IBYl9h,,  136.08300000,  C#,  Major,  93%,  43%,  31%,  1%,  0%,  24%,  26%
9,Drowning (feat. Kodak Black),A Boogie Wit da Hoodie,http://www.spotontrack.com/track/drowning-feat-kodak-black/11594852,https://open.spotify.com/track/3LnOF5n1GOs01siYZXzS3p,3LnOF5n1GOs01siYZXzS3p,https://p.scdn.co/mp3-preview/eddebe070cb8339e7f04ca7dce27052d090e277f?cid=null,  129.01400000,  F,  Minor,  84%,  81%,  81%,  50%,  0%,  6%,  12%
10,Tunnel Vision,Kodak Black,http://www.spotontrack.com/track/tunnel-vision/9144492,https://open.spotify.com/track/2BoS7pU92MQtynhQ0cZOLT,2BoS7pU92MQtynhQ0cZOLT,https://p.scdn.co/mp3-preview/39e131a9b6a70f0ebb13a6b4ae5a1e530d5f812f?cid=null,  171.85300000,  B,  Minor,  50%,  49%,  23%,  6%,  0%,  29%,  12%
11,Magnolia,Playboi Carti,http://www.spotontrack.com/track/magnolia/17722320,https://open.spotify.com/track/1e1JKLEDKP7hEQzJfNAgPl,1e1JKLEDKP7hEQzJfNAgPl,,  163.02900000,  B,  Minor,  79%,  59%,  42%,  1%,  0%,  29%,  46%
12,Harley,Lil Yachty,http://www.spotontrack.com/track/harley/23779956,https://open.spotify.com/track/2hfuZh5FuIOFMoUPU01fjv,2hfuZh5FuIOFMoUPU01fjv,,  143.06400000,  C,  Major,  71%,  60%,  22%,  0%,  0%,  4%,  17%
13,Unforgettable,French Montana,http://www.spotontrack.com/track/unforgettable/16112738,https://open.spotify.com/track/1F2HXIJrE2Xn81OzT2zZvW,1F2HXIJrE2Xn81OzT2zZvW,https://p.scdn.co/mp3-preview/3814de3ede7445566a5b176bb23120af44da62d8?cid=null,  97.98500000,  F#,  Major,  73%,  77%,  75%,  3%,  1%,  12%,  10%
14,Both (feat. Drake & Lil Wayne) - Remix,Gucci Mane,http://www.spotontrack.com/track/both-feat-drake-lil-wayne-remix/17946725,https://open.spotify.com/track/53HIIqV64NIKyyGllfKvzu,53HIIqV64NIKyyGllfKvzu,,  140.00700000,  F,  Minor,  83%,  49%,  30%,  6%,  0%,  13%,  7%
15,1-800-273-8255,Logic,http://www.spotontrack.com/track/1-800-273-8255/22004908,https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV,5tz69p7tJuGPeMGwNTxYuV,,  100.01500000,  F,  Minor,  63%,  57%,  38%,  57%,  0%,  4%,  19%
